user_id,timestamp,group,landing_page,converted
687495,2023-01-03 19:09:11.000000,treatment,new_page,0
651208,2023-01-08 06:30:04.000000,control,old_page,0
657756,2023-01-17 23:54:19.000000,treatment,new_page,0
869802,2023-01-20 17:53:47.000000,treatment,new_page,0
665852,2023-01-13 13:43:52.000000,treatment,new_page,0
719229,2023-01-18 17:58:40.000000,treatment,new_page,0
779394,2023-01-01 23:24:04.000000,treatment,new_page,0
767448,2023-01-10 18:44:48.000000,control,old_page,0
910046,2023-01-15 20:21:00.000000,control,old_page,0
848067,2023-01-13 17:10:27.000000,control,old_page,0
880832,2023-01-13 03:30:15.000000,control,old_page,0
662620,2023-01-05 01:52:30.000000,treatment,new_page,1
892440,2023-01-07 07:21:01.000000,treatment,new_page,0
692580,2023-01-10 07:52:32.000000,control,old_page,1
742652,2023-01-06 19:39:49.000000,treatment,new_page,0
841834,2023-01-18 01:58:55.000000,treatment,new_page,0
688182,2023-01-19 08:52:10.000000,control,old_page,0
838886,2023-01-02 08:57:05.000000,treatment,new_page,0
899183,2023-01-16 20:53:46.000000,control,old_page,0
650329,2023-01-16 06:10:34.000000,control,old_page,0
839133,2023-01-03 16:10:42.000000,control,old_page,0
797764,2023-01-07 09:47:21.000000,treatment,new_page,1
776822,2023-01-14 03:08:25.000000,treatment,new_page,0
707664,2023-01-10 18:34:06.000000,control,old_page,0
716288,2023-01-02 22:57:49.000000,treatment,new_page,0
737958,2023-01-05 04:54:00.000000,treatment,new_page,0
800433,2023-01-15 03:39:11.000000,treatment,new_page,0
881798,2023-01-04 23:04:06.000000,control,old_page,0
748887,2023-01-08 15:42:48.000000,treatment,new_page,0
772896,2023-01-01 03:20:27.000000,control,old_page,0
767754,2023-01-08 10:39:02.000000,treatment,new_page,0
832291,2023-01-06 04:05:28.000000,treatment,new_page,0
778101,2023-01-15 14:39:39.000000,treatment,new_page,0
727415,2023-01-05 19:20:49.000000,treatment,new_page,0
675417,2023-01-21 12:44:13.000000,control,old_page,0
890241,2023-01-10 11:08:23.000000,control,old_page,0
795469,2023-01-16 05:08:18.000000,control,old_page,0
639171,2023-01-13 08:09:37.000000,treatment,new_page,0
784653,2023-01-16 10:53:25.000000,control,old_page,0
754139,2023-01-13 02:13:13.000000,control,old_page,0
